0,AUS_CCUS,CAN_CCUS,DNK_CCUS,JPN_CCUS,MEX_CCUS,NZL_CCUS,NOR_CCUS,SWE_CCUS,CHE_CCUS,GBR_CCUS,BRA_CCUS,IND_CCUS,ZAF_CCUS,EA19_CCUS
1990-01,1.280209,1.171891,6.557209,145.177,2.702177,1.662705,6.541036,6.17099,1.515077,0.6054,6.194001e-06,16.965,2.55552,0.8319
1990-02,1.317616,1.196532,6.466,145.4628,2.733632,1.690174,6.470163,6.116978,1.488784,0.5895684,1.023938e-05,17.002,2.54415,0.8208
1990-03,1.323505,1.180804,6.526309,153.1924,2.763038,1.710655,6.588441,6.160573,1.511268,0.6156818,1.631524e-05,17.12,2.6139,0.8351
1990-04,1.30678,1.163865,6.437232,158.606,2.793042,1.72649,6.549521,6.117905,1.486805,0.6108105,2.072457e-05,17.28,2.65531,0.8251
1990-05,1.314114,1.174373,6.332838,153.2295,2.821841,1.743227,6.443505,6.052605,1.415924,0.5963272,2.260272e-05,17.32,2.64436,0.8114
1990-06,1.284219,1.172886,6.409853,153.7602,2.845643,1.716695,6.472995,6.089595,1.4252,0.5849905,2.471525e-05,17.431,2.66437,0.8177
1990-07,1.2638,1.1568,6.240877,149.2541,2.867114,1.690076,6.301341,5.948355,1.392577,0.5531273,2.878547e-05,17.416,2.62734,0.7927
1990-08,1.237222,1.145422,6.006022,147.5222,2.879152,1.63233,6.083809,5.777278,1.306432,0.5258435,3.10531e-05,17.377,2.574,0.7599
1990-09,1.212016,1.157926,5.99388,138.9179,2.892574,1.60989,6.073105,5.765305,1.307485,0.53234,3.269063e-05,17.869,2.57105,0.7617
1990-10,1.251045,1.159965,5.817465,129.763,2.912677,1.637114,5.917165,5.642317,1.281483,0.5138522,4.118299e-05,18.051,2.54397,0.7398
1990-11,1.294091,1.164023,5.698676,128.9338,2.932828,1.638623,5.806015,5.564886,1.257164,0.5089727,5.328624e-05,18.087,2.52394,0.724
1990-12,1.297326,1.160285,5.749983,133.7274,2.945311,1.677258,5.852183,5.613645,1.278117,0.5194474,6.689764e-05,18.124,2.52994,0.732
1991-01,1.283036,1.156268,5.8126,133.5926,2.9582,1.679982,5.903973,5.6357,1.272143,0.5168,8.360322e-05,18.329,2.5627,0.7367
1991-02,1.27716,1.154615,5.693255,130.5337,2.969347,1.661405,5.789375,5.53507,1.267825,0.509255,9.596569e-05,18.854,2.53897,0.7226
1991-03,1.29573,1.15711,6.152055,136.9463,2.980906,1.68362,6.253325,5.88004,1.38779,0.548125,9.95701e-05,19.244,2.65183,0.7818
